ride_week,year_23_24_weekly_rides,pct_of_total
1,49534,0.01010809255514312
2,88046,0.017966994733115256
3,87535,0.01786271816963001
4,102837,0.020985301289886807
5,98191,0.020037221223443657
6,103291,0.021077946221045907
7,87687,0.017893735855833058
8,89324,0.01822778817369088
9,107942,0.022027046606114157
10,108053,0.022049697679591383
11,101633,0.020739608564962667
12,104753,0.02137628738702522
13,94842,0.019353811808351513
14,84660,0.017276034960197372
15,99276,0.02025863036509041
16,105947,0.02161993947469916
17,104945,0.02141546762222907
18,103977,0.021217933936409663
19,106584,0.02174992806753693
20,109861,0.02241864489442763
21,96566,0.01970561767028608
22,77264,0.015766779649949086
23,108966,0.022236007860534687
24,105655,0.021560352866993305
25,89858,0.018336758202851588
26,95318,0.019450946141461055
27,42987,0.008772087347436858
28,91501,0.018672034903059527
29,98463,0.02009272655664911
30,94885,0.019362586548527374
31,86399,0.017630901778007236
32,89530,0.018269825301045012
33,86984,0.017750279057143964
34,88885,0.018138204198407077
35,79789,0.01628204055562471
36,73367,0.014971543313545953
37,113129,0.023085525147793152
38,118099,0.024099721861142797
39,110126,0.022472721781557944
40,100157,0.020438410506833073
41,105704,0.021570351989519287
42,112387,0.022934109863828277
43,117255,0.023927492077225877
44,91830,0.018739171868591125
45,105107,0.021448525945682317
46,115511,0.02357160494079091
47,73689,0.01503725183300241
48,69569,0.014196509285919806
49,121259,0.024744563232206154
50,116694,0.023813012327489627
51,60765,0.012399932250843293
52,23814,0.004859573547627453
