week_num,year_num,starting_week_date,pre_existing_rider_lift,new_rider_pp_lift
32,2025,2025-08-04,0.0023,1.833
33,2025,2025-08-11,0.0023,1.833
34,2025,2025-08-18,0.0023,1.833
35,2025,2025-08-25,0.0023,1.833
36,2025,2025-09-01,0.0023,1.833
37,2025,2025-09-08,0.0023,1.833
38,2025,2025-09-15,0.0023,1.833
39,2025,2025-09-22,0.0023,1.833
40,2025,2025-09-29,0.0023,1.833
41,2025,2025-10-06,0.013,1.287
42,2025,2025-10-13,0.006,1.129
43,2025,2025-10-20,0.0167,1.2154
44,2025,2025-10-27,0.0167,1.2154
45,2025,2025-11-03,0.0137,1.1763
